time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-30 00:00:00+00:00,7,5,0,0
2026-05-01 00:00:00+00:00,28,7,1,1
2026-05-02 00:00:00+00:00,24,8,1,1
2026-05-03 00:00:00+00:00,14,7,0,0
2026-05-04 00:00:00+00:00,18,6,0,0
2026-05-05 00:00:00+00:00,44,11,0,0
2026-05-06 00:00:00+00:00,18,7,0,0
2026-05-07 00:00:00+00:00,13,6,0,0
2026-05-08 00:00:00+00:00,12,5,1,1
2026-05-09 00:00:00+00:00,20,7,1,1
2026-05-10 00:00:00+00:00,30,9,1,1
2026-05-11 00:00:00+00:00,18,6,0,0
2026-05-12 00:00:00+00:00,15,6,0,0
2026-05-13 00:00:00+00:00,19,4,0,0
